rowID,stamp,datetime,hum
5181999,1497830396, 2017/6/18 23:59:56,69.40
5182999,1497830397, 2017/6/18 23:59:57,69.30
5183998,1497830398, 2017/6/18 23:59:58,69.30
5184999,1497830399, 2017/6/18 23:59:59,69.30
5185999,1497830400, 2017/6/19 0:0:0,69.30
5187000,1497830401, 2017/6/19 0:0:1,69.20
5187999,1497830402, 2017/6/19 0:0:2,69.20
5189000,1497830403, 2017/6/19 0:0:3,69.20
5189999,1497830404, 2017/6/19 0:0:4,69.20
5190999,1497830405, 2017/6/19 0:0:5,69.20
5191999,1497830406, 2017/6/19 0:0:6,69.40
5192998,1497830407, 2017/6/19 0:0:7,69.40
5193999,1497830408, 2017/6/19 0:0:8,69.30
5194998,1497830409, 2017/6/19 0:0:9,69.30
5196000,1497830410, 2017/6/19 0:0:10,69.30
5196999,1497830411, 2017/6/19 0:0:11,69.50
5197999,1497830412, 2017/6/19 0:0:12,69.50
5199000,1497830413, 2017/6/19 0:0:13,69.40
5199998,1497830414, 2017/6/19 0:0:14,69.40
5201000,1497830415, 2017/6/19 0:0:15,69.50
5201999,1497830416, 2017/6/19 0:0:16,69.50
5202999,1497830417, 2017/6/19 0:0:17,69.50
5203999,1497830418, 2017/6/19 0:0:18,69.50
5204999,1497830419, 2017/6/19 0:0:19,69.50
5205999,1497830420, 2017/6/19 0:0:20,69.50
5206999,1497830421, 2017/6/19 0:0:21,69.50
5207999,1497830422, 2017/6/19 0:0:22,69.50
5208998,1497830423, 2017/6/19 0:0:23,69.50
5209999,1497830424, 2017/6/19 0:0:24,69.50
5210998,1497830425, 2017/6/19 0:0:25,69.50
5211999,1497830426, 2017/6/19 0:0:26,69.50
5212999,1497830427, 2017/6/19 0:0:27,69.50
5213999,1497830428, 2017/6/19 0:0:28,69.50
5214999,1497830429, 2017/6/19 0:0:29,69.50
5215998,1497830430, 2017/6/19 0:0:30,69.50
5216999,1497830431, 2017/6/19 0:0:31,69.60
5217999,1497830432, 2017/6/19 0:0:32,69.60
5218999,1497830433, 2017/6/19 0:0:33,69.60
5219998,1497830434, 2017/6/19 0:0:34,69.60
5220999,1497830435, 2017/6/19 0:0:35,69.60
5221999,1497830436, 2017/6/19 0:0:36,69.60
5222999,1497830437, 2017/6/19 0:0:37,69.60
5223999,1497830438, 2017/6/19 0:0:38,69.60
5224998,1497830439, 2017/6/19 0:0:39,69.60
5225999,1497830440, 2017/6/19 0:0:40,69.60
5226999,1497830441, 2017/6/19 0:0:41,69.60
5227999,1497830442, 2017/6/19 0:0:42,69.60
5228999,1497830443, 2017/6/19 0:0:43,69.60
5229999,1497830444, 2017/6/19 0:0:44,69.60
5230999,1497830445, 2017/6/19 0:0:45,69.60
5232000,1497830446, 2017/6/19 0:0:46,69.60
5232999,1497830447, 2017/6/19 0:0:47,69.60
5233999,1497830448, 2017/6/19 0:0:48,69.50
5234999,1497830449, 2017/6/19 0:0:49,69.50
5235999,1497830450, 2017/6/19 0:0:50,69.60
5236999,1497830451, 2017/6/19 0:0:51,69.60
5237999,1497830452, 2017/6/19 0:0:52,69.60
5239000,1497830453, 2017/6/19 0:0:53,69.50
5239999,1497830454, 2017/6/19 0:0:54,69.50
5240998,1497830455, 2017/6/19 0:0:55,69.40
5241999,1497830456, 2017/6/19 0:0:56,69.40
5242999,1497830457, 2017/6/19 0:0:57,69.30
5243999,1497830458, 2017/6/19 0:0:58,69.30
5244999,1497830459, 2017/6/19 0:0:59,69.30
5245999,1497830460, 2017/6/19 0:1:0,69.30
5247000,1497830461, 2017/6/19 0:1:1,69.40
5247998,1497830462, 2017/6/19 0:1:2,69.40
5249000,1497830463, 2017/6/19 0:1:3,69.40
5249999,1497830464, 2017/6/19 0:1:4,69.40
5250999,1497830465, 2017/6/19 0:1:5,69.50
5252000,1497830466, 2017/6/19 0:1:6,69.50
5252999,1497830467, 2017/6/19 0:1:7,69.50
5253998,1497830468, 2017/6/19 0:1:8,69.50
5254999,1497830469, 2017/6/19 0:1:9,69.50
5255999,1497830470, 2017/6/19 0:1:10,69.50
5256998,1497830471, 2017/6/19 0:1:11,69.50
5257999,1497830472, 2017/6/19 0:1:12,69.50
5258998,1497830473, 2017/6/19 0:1:13,69.50
5259999,1497830474, 2017/6/19 0:1:14,69.50
5260999,1497830475, 2017/6/19 0:1:15,69.50
5261999,1497830476, 2017/6/19 0:1:16,69.50
5262999,1497830477, 2017/6/19 0:1:17,69.60
5264000,1497830478, 2017/6/19 0:1:18,69.60
5265000,1497830479, 2017/6/19 0:1:19,69.60
5265999,1497830480, 2017/6/19 0:1:20,69.60
5267000,1497830482, 2017/6/19 0:1:22,69.60
5267999,1497830483, 2017/6/19 0:1:23,69.70
5268999,1497830484, 2017/6/19 0:1:24,69.70
5269998,1497830485, 2017/6/19 0:1:25,69.60
5270999,1497830486, 2017/6/19 0:1:26,69.60
5271999,1497830487, 2017/6/19 0:1:27,69.60
5272998,1497830488, 2017/6/19 0:1:28,69.60
5273999,1497830489, 2017/6/19 0:1:29,69.60
5274999,1497830490, 2017/6/19 0:1:30,69.60
5275999,1497830491, 2017/6/19 0:1:31,69.60
5276998,1497830492, 2017/6/19 0:1:32,69.60
